player,dismissal,runs,balls,minutes,4s,6s,strike_rate,team,opponent,innings,match_id
Rohit Sharma,b Madushanka,4,2,2,1,0,200.0,India,Sri Lanka,1,0
Shubman Gill,c Mendis b Madushanka,92,92,136,11,2,100.0,India,Sri Lanka,1,0
Virat Kohli,c Nissanka b Madushanka,88,94,139,11,0,93.61,India,Sri Lanka,1,0
Shreyas Iyer,c Theekshana b Madushanka,82,56,84,3,6,146.42,India,Sri Lanka,1,0
KL Rahul,c Hemantha b Chameera,21,19,34,2,0,110.52,India,Sri Lanka,1,0
Suryakumar Yadav,c Mendis b Madushanka,12,9,13,2,0,133.33,India,Sri Lanka,1,0
Ravindra Jadeja,run out (Samarawickrama/Mendis),35,24,41,1,1,145.83,India,Sri Lanka,1,0
Mohammed Shami,run out (Mendis),2,4,11,0,0,50.0,India,Sri Lanka,1,0
Jasprit Bumrah,not out,1,1,1,0,0,100.0,India,Sri Lanka,1,0
Fakhar Zaman,c & b van Beek,12,15,14,3,0,80.0,Pakistan,Netherlands,1,1
Imam-ul-Haq,c Dutt b van Meekeren,15,19,40,2,0,78.94,Pakistan,Netherlands,1,1
Babar Azam,c Saqib Zulfiqar b Ackermann,5,18,20,0,0,27.77,Pakistan,Netherlands,1,1
Mohammad Rizwan,b de Leede,68,75,104,8,0,90.66,Pakistan,Netherlands,1,1
Saud Shakeel,c Saqib Zulfiqar b Dutt,68,52,84,9,1,130.76,Pakistan,Netherlands,1,1
Iftikhar Ahmed,c Edwards b de Leede,9,11,22,1,0,81.81,Pakistan,Netherlands,1,1
Mohammad Nawaz,run out (van Meekeren/Ackermann),39,43,66,4,0,90.69,Pakistan,Netherlands,1,1
Shadab Khan,b de Leede,32,34,42,2,1,94.11,Pakistan,Netherlands,1,1
Hasan Ali,lbw b de Leede,0,1,2,0,0,0.0,Pakistan,Netherlands,1,1
Shaheen Shah Afridi,not out,13,12,23,2,0,108.33,Pakistan,Netherlands,1,1
Haris Rauf,st Edwards b Ackermann,16,14,10,2,1,114.28,Pakistan,Netherlands,1,1
Rohit Sharma,c Head b Maxwell,47,31,44,4,3,151.61,India,Australia,1,2
Shubman Gill,c Zampa b Starc,4,7,21,0,0,57.14,India,Australia,1,2
Virat Kohli,b Cummins,54,63,99,4,0,85.71,India,Australia,1,2
Shreyas Iyer,c Inglis b Cummins,4,3,3,1,0,133.33,India,Australia,1,2
KL Rahul,c Inglis b Starc,66,107,133,1,0,61.68,India,Australia,1,2
Ravindra Jadeja,c Inglis b Hazlewood,9,22,33,0,0,40.9,India,Australia,1,2
Suryakumar Yadav,c Inglis b Hazlewood,18,28,57,1,0,64.28,India,Australia,1,2
Mohammed Shami,c Inglis b Starc,6,10,9,1,0,60.0,India,Australia,1,2
Jasprit Bumrah,lbw b Zampa,1,3,5,0,0,33.33,India,Australia,1,2
Kuldeep Yadav,run out (Labuschagne/Cummins),10,18,28,0,0,55.55,India,Australia,1,2
Mohammed Siraj,not out,9,8,13,1,0,112.5,India,Australia,1,2
Rohit Sharma,c Livingstone b Rashid,87,101,162,10,3,86.13,India,England,1,3
Shubman Gill,b Woakes,9,13,18,1,0,69.23,India,England,1,3
Virat Kohli,c Stokes b Willey,0,9,12,0,0,0.0,India,England,1,3
Shreyas Iyer,c Wood b Woakes,4,16,21,0,0,25.0,India,England,1,3
KL Rahul,c Bairstow b Willey,39,58,77,3,0,67.24,India,England,1,3
Suryakumar Yadav,c Woakes b Willey,49,47,75,4,1,104.25,India,England,1,3
Ravindra Jadeja,lbw b Rashid,8,13,14,0,0,61.53,India,England,1,3
Mohammed Shami,c Buttler b Wood,1,5,4,0,0,20.0,India,England,1,3
Jasprit Bumrah,run out (Buttler),16,25,44,1,0,64.0,India,England,1,3
Kuldeep Yadav,not out,9,13,18,1,0,69.23,India,England,1,3
Vikramjit Singh,lbw b Rajitha,4,13,17,1,0,30.76,Netherlands,Sri Lanka,1,4
Max O'Dowd,b Rajitha,16,27,50,1,1,59.25,Netherlands,Sri Lanka,1,4
Colin Ackermann,c Mendis b Rajitha,29,31,42,5,0,93.54,Netherlands,Sri Lanka,1,4
Bas de Leede,c Perera b Madushanka,6,21,33,0,0,28.57,Netherlands,Sri Lanka,1,4
Teja Nidamanuru,lbw b Madushanka,9,16,32,0,0,56.25,Netherlands,Sri Lanka,1,4
Scott Edwards,b Theekshana,16,16,22,0,0,100.0,Netherlands,Sri Lanka,1,4
Sybrand Engelbrecht,b Madushanka,70,82,100,4,1,85.36,Netherlands,Sri Lanka,1,4
Logan van Beek,c Asalanka b Rajitha,59,75,108,1,1,78.66,Netherlands,Sri Lanka,1,4
Roelof van der Merwe,c Mendis b Madushanka,7,7,12,0,0,100.0,Netherlands,Sri Lanka,1,4
Aryan Dutt,not out,9,6,14,1,0,150.0,Netherlands,Sri Lanka,1,4
Paul van Meekeren,run out (Mendis/Madushanka),4,5,6,0,0,80.0,Netherlands,Sri Lanka,1,4
Quinton de Kock,c Nasum Ahmed b Hasan Mahmud,174,140,192,15,7,124.28,South Africa,Bangladesh,1,5
